№ ВД	1.К-сть одержаних бюлетенів	2.К-сть виборців, внесених до списку	3.К-сть виборців, внесених до витягу для голос. за місцем перебув.	4.К-сть невикор. бюлетенів	5.К-сть виборців, які отримали бюлетені у приміщ.	6.К-сть виборців, які отримали бюлетені за місцем перебув.	7.Загальна к-сть виборців, які отримали бюлетені	8.К-сть бюлетенів, що не підлягають врахуванню	9.К-сть виборців, які взяли участь у голосуванні	10.К-сть бюлетенів, визнаних недійсними	ЗеленськийВолодимир	ПорошенкоПетро	Дата та час протоколу	oblast	tvo
050130	1696	1694	103	602	1004	90	1094	0	1094	16	579	499	22.04.2019 00:30	Вінницька область	11
050131	2128	2095	15	822	1295	11	1306	0	1306	28	751	527	22.04.2019 00:20	Вінницька область	11
050132	1296	1281	4	484	808	4	812	0	812	14	471	327	22.04.2019 01:15	Вінницька область	11
050133	2448	2422	14	933	1504	11	1515	0	1515	37	769	709	22.04.2019 01:30	Вінницька область	11
050134	240	222	0	108	132	0	132	0	132	0	77	55	21.04.2019 22:10	Вінницька область	11
050135	2432	2414	27	826	1586	20	1606	0	1606	43	844	719	22.04.2019 00:20	Вінницька область	11
050137	1680	1647	24	610	1046	24	1070	0	1070	22	587	461	22.04.2019 00:30	Вінницька область	11
050145	480	458	2	150	329	1	330	0	330	2	174	154	22.04.2019 01:40	Вінницька область	11
050149	384	373	16	127	241	16	257	0	257	9	149	99	22.04.2019 00:20	Вінницька область	11
050154	480	467	11	193	276	11	287	0	287	6	165	116	22.04.2019 00:15	Вінницька область	11
050155	688	679	36	204	451	33	484	0	484	13	235	236	22.04.2019 00:04	Вінницька область	11
050156	304	291	27	111	166	27	193	0	193	2	105	86	22.04.2019 00:20	Вінницька область	11
050161	400	386	19	139	244	17	261	0	261	4	143	114	22.04.2019 00:05	Вінницька область	11
050162	304	301	14	101	189	14	203	0	203	4	95	104	22.04.2019 00:10	Вінницька область	11
050164	1376	1355	32	470	878	28	906	0	906	16	470	420	22.04.2019 00:10	Вінницька область	11
050165	1792	1766	59	666	1080	46	1126	0	1126	30	541	555	22.04.2019 00:03	Вінницька область	11
050166	544	535	52	203	291	50	341	0	341	12	132	197	22.04.2019 00:30	Вінницька область	11
050167	752	745	12	329	411	12	423	0	423	10	228	185	22.04.2019 00:30	Вінницька область	11
050185	1952	1933	20	677	1256	19	1275	0	1275	33	773	469	22.04.2019 00:30	Вінницька область	11
050186	1136	1123	5	459	673	4	677	0	677	17	337	323	22.04.2019 00:45	Вінницька область	11
050187	144	132	1	49	95	0	95	0	95	0	51	44	22.04.2019 00:35	Вінницька область	11
050188	2512	2473	15	949	1552	11	1563	0	1563	23	836	704	22.04.2019 00:40	Вінницька область	11
050189	384	390	2	108	274	2	276	0	276	9	148	119	22.04.2019 00:01	Вінницька область	11
050190	479	160	45	384	62	33	95	0	95	4	54	37	21.04.2019 22:10	Вінницька область	11
050191	432	78	7	354	71	7	78	0	78	4	54	20	22.04.2019 00:25	Вінницька область	11
050192	1120	485	38	636	446	38	484	0	484	26	412	46	22.04.2019 00:02	Вінницька область	11
051477	2208	2163	12	782	1417	9	1426	0	1426	37	787	602	22.04.2019 00:15	Вінницька область	11
051478	2416	2398	18	829	1572	15	1587	0	1587	60	930	597	22.04.2019 00:05	Вінницька область	11
051479	2063	2018	10	867	1186	10	1196	0	1196	36	698	462	22.04.2019 02:15	Вінницька область	11
051480	1632	1609	7	603	1023	6	1029	0	1029	33	574	422	22.04.2019 00:10	Вінницька область	11
051481	1520	1522	12	466	1044	10	1054	0	1054	32	529	493	22.04.2019 00:10	Вінницька область	11
051482	2320	2391	8	737	1577	6	1583	0	1583	44	890	649	22.04.2019 00:50	Вінницька область	11
051483	2144	2112	20	695	1438	11	1449	0	1449	40	776	633	22.04.2019 00:50	Вінницька область	11
051484	2080	2046	9	667	1406	7	1413	0	1413	43	736	634	22.04.2019 00:30	Вінницька область	11
051485	2192	2166	5	685	1502	5	1507	0	1507	40	792	675	22.04.2019 02:10	Вінницька область	11
051486	1744	1719	4	536	1205	3	1208	0	1208	37	640	531	22.04.2019 00:55	Вінницька область	11
051487	1616	1617	2	465	1149	2	1151	0	1151	35	590	526	22.04.2019 00:30	Вінницька область	11
051489	1888	1877	14	705	1169	14	1183	0	1183	37	691	455	22.04.2019 01:20	Вінницька область	11
051490	1984	1972	9	754	1223	7	1230	0	1230	33	744	453	22.04.2019 00:27	Вінницька область	11
051491	1552	1530	2	542	1008	2	1010	0	1010	28	546	435	22.04.2019 00:15	Вінницька область	11
051492	2032	2024	20	707	1308	17	1325	0	1325	44	719	562	22.04.2019 00:15	Вінницька область	11
051493	2032	2013	17	717	1302	13	1315	0	1315	32	785	498	22.04.2019 00:30	Вінницька область	11
051494	1904	1885	20	691	1193	20	1213	0	1213	24	698	491	22.04.2019 00:20	Вінницька область	11
051495	224	214	35	38	156	30	186	0	186	17	96	73	22.04.2019 00:35	Вінницька область	11
051496	1664	1649	5	554	1107	3	1110	0	1110	39	633	438	22.04.2019 00:40	Вінницька область	11
051499	1792	1772	7	627	1158	7	1165	0	1165	27	625	513	22.04.2019 00:45	Вінницька область	11
051500	2144	2115	12	704	1430	10	1440	0	1440	56	793	591	22.04.2019 00:35	Вінницька область	11
051501	2080	2057	12	728	1345	7	1352	0	1352	35	697	620	22.04.2019 05:40	Вінницька область	11
051502	2288	2278	8	712	1568	8	1576	0	1576	36	848	691	22.04.2019 01:00	Вінницька область	11
051503	2416	2390	3	726	1688	2	1690	0	1690	37	894	759	22.04.2019 00:40	Вінницька область	11
051504	2032	2002	10	775	1250	7	1257	0	1257	34	828	395	22.04.2019 00:21	Вінницька область	11
051505	2032	2011	16	720	1300	12	1312	0	1312	39	804	469	22.04.2019 01:10	Вінницька область	11
051506	2304	2263	27	847	1434	23	1457	0	1457	26	857	574	22.04.2019 00:30	Вінницька область	11
051507	2288	2241	9	834	1445	9	1454	0	1454	49	779	626	22.04.2019 00:40	Вінницька область	11
051508	1888	1861	19	661	1212	15	1227	0	1227	38	698	491	22.04.2019 00:05	Вінницька область	11
051509	2016	1988	12	822	1184	10	1194	0	1194	35	695	464	22.04.2019 02:15	Вінницька область	11
051510	1872	1833	22	645	1212	15	1227	0	1227	37	671	519	22.04.2019 00:25	Вінницька область	11
051511	1952	1917	9	665	1280	7	1287	0	1287	32	677	578	22.04.2019 01:20	Вінницька область	11
051512	2080	2064	8	681	1395	4	1399	0	1399	45	710	644	22.04.2019 00:20	Вінницька область	11
051513	1968	1940	22	681	1267	20	1287	0	1287	45	685	557	22.04.2019 01:40	Вінницька область	11
051514	2000	1981	14	661	1328	11	1339	0	1339	43	793	503	22.04.2019 00:03	Вінницька область	11
051515	2000	1979	20	668	1318	14	1332	0	1332	48	745	539	22.04.2019 00:08	Вінницька область	11
051516	1872	1851	21	706	1148	18	1166	0	1166	38	682	446	22.04.2019 00:15	Вінницька область	11
051517	1984	1962	14	652	1318	14	1332	0	1332	49	754	529	22.04.2019 00:05	Вінницька область	11
051518	2142	2124	6	638	1498	6	1504	0	1504	49	821	634	22.04.2019 00:20	Вінницька область	11
051519	2146	2113	5	763	1379	4	1383	0	1383	31	748	604	22.04.2019 00:50	Вінницька область	11
051520	2256	2231	8	895	1356	5	1361	0	1361	39	735	587	22.04.2019 00:30	Вінницька область	11
051521	1856	1914	6	690	1162	4	1166	0	1166	40	647	479	22.04.2019 00:30	Вінницька область	11
051522	1824	1821	10	571	1248	5	1253	0	1253	34	640	579	22.04.2019 00:50	Вінницька область	11
051523	1872	1927	9	548	1316	8	1324	0	1324	36	753	535	22.04.2019 00:05	Вінницька область	11
051524	1488	1513	24	484	983	21	1004	0	1004	34	532	438	22.04.2019 00:51	Вінницька область	11
051525	1056	1036	0	387	669	0	669	0	669	22	360	287	22.04.2019 00:10	Вінницька область	11
051526	1872	1872	9	598	1266	8	1274	0	1274	48	705	521	22.04.2019 01:07	Вінницька область	11
051527	2080	2063	4	730	1346	4	1350	0	1350	45	765	540	22.04.2019 00:10	Вінницька область	11
051528	1952	1935	12	684	1256	12	1268	0	1268	45	734	489	22.04.2019 00:30	Вінницька область	11
051529	1968	1970	8	804	1156	8	1164	0	1164	37	674	453	22.04.2019 00:45	Вінницька область	11
051530	2544	2527	9	818	1723	3	1726	0	1726	40	916	770	22.04.2019 00:40	Вінницька область	11
051531	1600	1586	10	625	968	7	975	0	975	26	573	376	22.04.2019 00:05	Вінницька область	11
051532	2144	2119	11	753	1386	5	1391	0	1391	36	767	588	22.04.2019 01:05	Вінницька область	11
051533	2176	2135	10	735	1433	8	1441	0	1441	36	805	600	22.04.2019 01:30	Вінницька область	11
051534	2336	2346	17	771	1552	13	1565	0	1565	49	823	693	22.04.2019 00:24	Вінницька область	11
051535	1696	1667	7	600	1090	6	1096	0	1096	34	655	407	22.04.2019 01:30	Вінницька область	11
051536	2080	2043	7	677	1398	5	1403	0	1403	53	777	573	22.04.2019 01:10	Вінницька область	11
051537	1344	1364	0	452	892	0	892	0	892	15	597	280	22.04.2019 00:30	Вінницька область	11
051538	2128	2118	23	721	1385	22	1407	0	1407	47	813	547	22.04.2019 01:30	Вінницька область	11
051539	1504	1486	14	454	1037	13	1050	0	1050	61	585	404	22.04.2019 00:05	Вінницька область	11
051540	2080	2083	13	681	1386	13	1399	0	1399	40	774	584	22.04.2019 00:05	Вінницька область	11
051541	1824	1823	9	673	1143	8	1151	0	1151	43	690	418	22.04.2019 01:30	Вінницька область	11
051542	1728	1711	10	658	1063	7	1070	0	1070	21	616	433	22.04.2019 00:15	Вінницька область	11
051543	2000	1996	10	766	1226	8	1234	0	1234	33	735	466	22.04.2019 08:10	Вінницька область	11
051544	2032	2019	6	699	1327	6	1333	0	1333	51	749	533	22.04.2019 00:38	Вінницька область	11
